Name,Formula,-∆fH°,group,CO-(O)(CO),CO-(CD)(O),CO-(C)(O),CO-(H)(O),CO-(O)(CB),O-(CO)2 aliphatic,O-(CO)2 aromatic,O-(H)(CO),O-(C)(CB),O-(H)(CB),CD-(H)(CO),CD-(C)(CO),CB-(CO)(CB)2,CB-(O)(CB)2,C-(CO)(C)3,C-(H)(CO)(C)2,C-(H)2(CO)(C) ,C-(H)3(O),C-(H)3(CD),C-(H)3(C),C-(H)3(CB),C-(H)2(C)2,C-(H)(C)3,CD-(H)2,CB-(H)(CB)2,CB-(C)(CB)2,C-(H)2(C)(CB),C-(C)4,CH3(tert),CH3(qua),CO-(C)(CD) ,O-(CD)(CO),O-(H)(C) ,C-(H)2(CO)2,C-(H)(O)(CO)(C) ,C-(H)(CO)(C)(CB),CB-(CB)3,CO-(C)(N),N-(H)(CO)2,C-(H)3(N),N-(CO)2(C),CO-(CD)(N),CO-(N)(CB),CB-(NO2)(CB)2,C-(H)2(N)(C),CB-(N)(CB)2,N-(CO)2(CB),N-(CO)2(N),CBF-(CBF)(CB)2,rsc,radical 1,radical 2,radical 3,radical 4,Correction 1,Correction 2,Correction 3,Correction 4
Oxalic acid,C2H2O4,829.7,acid,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hexadecanoic acid,C16H32O2,891.5,acid,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Octadecanoic acid,C18H36O2,948,acid,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nonadecanoic acid,C19H38O2,984,acid,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eicosanoic acid,C20H40O2,1011.9,acid,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Succinic acid,C4H6O4,940.4,acid,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glutaric acid,C5H8O4,958.84,acid,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adipic acid,C6H10O4,994.3,acid,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suberic acid,C8H14O4,1038,acid,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebacic acid,C10H18O4,1082.6,acid,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodecanedioic acid,C12H22O4,1130,acid,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Methoxybenzoic acid,C8H8O3,538.5,acid,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,ortho,0,0,0
3-Methoxybenzoic acid,C8H8O3,553.5,acid,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,meta,0,0,0
4-Methoxybenzoic acid,C8H8O3,561.7,acid,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,para,0,0,0
