Name,Formula,∆subH°,group,CO-(O)(CO),CO-(CD)(O),CO-(C)(O),CO-(H)(O),CO-(O)(CB),O-(CO)2 aliphatic,O-(CO)2 aromatic,O-(H)(CO),O-(C)(CB),O-(H)(CB),CD-(H)(CO),CD-(C)(CO),CB-(CO)(CB)2,CB-(O)(CB)2,C-(CO)(C)3,C-(H)(CO)(C)2,C-(H)2(CO)(C) ,C-(H)3(O),C-(H)3(CD),C-(H)3(C),C-(H)3(CB),C-(H)2(C)2,C-(H)(C)3,CD-(H)2,CB-(H)(CB)2,CB-(C)(CB)2,C-(H)2(C)(CB),C-(C)4,CH3(tert),CH3(qua),CB-(CB)3,CO-(C)(N),N-(H)(CO)2,C-(H)3(N),N-(CO)2(C),CO-(CD)(N),CO-(N)(CB),CB-(NO2)(CB)2,C-(H)2(N)(C),CB-(N)(CB)2,N-(CO)2(CB),rsc,radical 1,radical 2,radical 3,radical 4,Correction 1,Correction 2,Correction 3,Correction 4
"3,5-Diethylbenzoic acid",C11H14O2,104.1,acid,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,meta,meta,0,0
"2,3,6-Trimethylbenzoic acid",C10H12O2,104.5,acid,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,0,ortho,meta,ortho,0
"2,3-Dimethylbenzoic acid",C9H10O2,104.6,acid,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,ortho,meta,0,0
"2,5-Dimethylbenzoic acid",C9H10O2,105,acid,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,ortho,meta,0,0
"2,3,5,6-Tetramethylbenzoic acid",C11H14O2,106,acid,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,6,ortho,meta,meta,ortho
"3,4-Dimethylbenzoic acid",C9H10O2,106.4,acid,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,meta,para,0,0
"2,3,5-Trimethylbenzoic acid",C10H12O2,106.5,acid,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,ortho,meta,meta,0
"2,3,4-Trimethylbenzoic acid",C10H12O2,109.3,acid,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,ortho,meta,para,0
"2,4,5-Trimethylbenzoic acid",C10H12O2,109.5,acid,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,0,ortho,para,meta,0
"2,3,4,6-Tetramethylbenzoic acid",C11H14O2,109.6,acid,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,6,ortho,meta,para,ortho
